text,keyphrases,is_problem
"みんなのおすすめなTシャツブランド教えて
#street #ootd #outfit #fashion
#cityboy #ストリート#ストリートファッション#シティーボーイ＃メンズライク #夏コーデ＃コーデ紹介 #tシャツコーデ","[('みんなのおすすめなtシャツブランド教えて', 0.7021), ('ストリートファッション', 0.6535), ('tシャツコーデ', 0.6133)]",False
"夏服に迷ってる人必見個人的におすすめのTシャツ6選✨

#ファッション #ストリートファッション #コーデ #夏服 #春服 #おすすめ #ブランド #tシャツ ","[('夏服に迷ってる人必見個人的におすすめのtシャツ6選', 0.8537), ('夏服', 0.6854), ('ストリートファッション', 0.5732)]",True
"とうとう無地Tの季節がやってきましたね！
みなさん好きな無地Tブランドはなんですか！
#ストリートファッション #hiphop #白t ","[('みなさん好きな無地tブランドはなんですか', 0.8022), ('とうとう無地tの季節がやってきましたね', 0.7968), ('ストリートファッション', 0.6397)]",False
綺麗なAラインシルエットが作れるコスパ最強デニムはここ#デニム #バギーデニム #ストリートファッション ,"[('綺麗なaラインシルエットが作れるコスパ最強デニムはここ', 0.8916), ('バギーデニム', 0.7072), ('ストリートファッション', 0.6653)]",False
"ストリートファッション女性編
#ファッション #おしゃれ #cityboy #ストリートファッション #レディースファッション ","[('ストリートファッション女性編', 0.7955), ('ストリートファッション', 0.7232), ('レディースファッション', 0.6734)]",False
"服好き田舎JKのストリート夏コーデ5選!
お気に入りの服集めてコーデ組んでみたよ!
オシャレ初心者なのでお手柔らかに!参考になったら嬉しいです^^
#コーデ紹介 #07 #高校生 #おすすめ #fyp #jk #ファッション #1週間コーデ #コーデ #服 #回転界隈 #田舎 #古着女子 ","[('服好き田舎jkのストリート夏コーデ5選', 0.7622), ('オシャレ初心者なのでお手柔らかに', 0.7093), ('お気に入りの服集めてコーデ組んでみたよ', 0.5867)]",False
"いんすたきてね︎^_^
#09 #バスケ #ストリート#金欠","[('いんすたきてね', 0.6805), ('ストリート', 0.5804), ('金欠', 0.549)]",False
"今SNS で話題になっているベルトが付けれるスウェパンがあるらしいから実際履いてみたんだけどもう履き心地良すぎるし、カラビナも付けれて、何よりバギーシルエットで週7確定

@地底人ONLINE ←このブランド

みんなはもうこのスウェパン買った？
#street #ootd #outfit #fashion #cityboy #ストリート #ストリートファッション #シティーボーイ #メンズライク #夏コーデ #コーデ紹介 #pr ","[('で話題になっているベルトが付けれるスウェパンがあるらしいから実際履いてみたんだけどもう履き心地良すぎるし', 0.6018), ('何よりバギーシルエットで週7確定', 0.5096), ('カラビナも付けれて', 0.506)]",False
#メンズファッション #ストリートファッション #シティーボーイ #かつき ,"[('ストリートファッション', 0.8364), ('メンズファッション', 0.7745), ('シティーボーイ', 0.6752)]",False
"着用しているTシャツの詳細は動画の最後に！

最新情報はInstagramをチェック✨
.
.
.
.
#ストリートファッション #メンズ夏服コーデ #zozotown購入品 #zozotown #夏服コーデ #tシャツコーデ #ストリート系女子 #スト女 #ロゴt ","[('夏服コーデ', 0.6776), ('メンズ夏服コーデ', 0.6726), ('tシャツコーデ', 0.6662)]",False
"オンライン古着屋といえばここでしょ！

#古着 #古着屋 #古着屋SAKASHITA #古着初心者 #ストリート #オンライン古着屋 #三軒茶屋古着屋 #ステューシー #シュプリーム ","[('オンライン古着屋といえばここでしょ', 0.7556), ('古着屋sakashita', 0.7529), ('オンライン古着屋', 0.7473)]",False
"一軍入り確定最強ジップパーカー14選
#ストリート #ストリートコーデ #ストリート系男子 #ストリート系女子 #パーカー #春服 #春コーデ #ジップパーカー #メンズライク #ootd #wshot ","[('一軍入り確定最強ジップパーカー14選', 0.7423), ('ストリート系男子', 0.5733), ('ジップパーカー', 0.5438)]",False
"\あの3点セットアップがついに登場/

4/18(金)12:00~ZOZOTOWNにて発売開始となる
コスパ最強セットアップの紹介です！！

かなり人気なアイテムになりますので、
気になった方は要チェックです！！
#zozo #zozotown 
#メンズコーデ #メンズファッション 
#astronomy #キレイめコーデ #セットアップ ","[('あの3点セットアップがついに登場', 0.6503), ('コスパ最強セットアップの紹介です', 0.6461), ('かなり人気なアイテムになりますので', 0.5934)]",False
"これやっちゃってません？？
最近、街中で見ること増えたちょいダサめのコーデ。

デニムがトレンドになって、普段履かない人が履く時はこの３つだけは気にして合わせてね！！

①カジュアルシャツと合わせる。
②オールブラックでかっこよく。
③ヴィンテージ風Tシャツで男っぽく！

これさえすれば、よくいるダサコーデにはならないから、気にして夏は過ごしていきましょう✌️

#夏コーデ #メンズファッション #垢抜け男子 #メンズ垢抜け ","[('③ヴィンテージ風tシャツで男っぽく', 0.7416), ('普段履かない人が履く時はこの３つだけは気にして合わせてね', 0.5691), ('垢抜け男子', 0.5563)]",False
